video_name,status,total_frames,i_frames,p_frames,b_frames,propagated_frames,tracking_data,motion_data,error,processing_time
Walking (121),SUCCESS,184,7,55,122,177,C:\Users\newuser\capstone_project\output\Walking (121)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (121)\motion\roi_motion_data.json,,6.78s
Walking (122),SUCCESS,308,11,92,205,297,C:\Users\newuser\capstone_project\output\Walking (122)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (122)\motion\roi_motion_data.json,,14.76s
Walking (123),SUCCESS,221,8,66,147,213,C:\Users\newuser\capstone_project\output\Walking (123)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (123)\motion\roi_motion_data.json,,11.15s
Walking (124),SUCCESS,304,11,91,202,293,C:\Users\newuser\capstone_project\output\Walking (124)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (124)\motion\roi_motion_data.json,,14.28s
Walking (125),SUCCESS,248,9,74,165,239,C:\Users\newuser\capstone_project\output\Walking (125)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (125)\motion\roi_motion_data.json,,12.31s
Walking (126),SUCCESS,290,10,87,193,280,C:\Users\newuser\capstone_project\output\Walking (126)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (126)\motion\roi_motion_data.json,,9.28s
Walking (127),SUCCESS,196,7,59,130,189,C:\Users\newuser\capstone_project\output\Walking (127)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (127)\motion\roi_motion_data.json,,6.51s
Walking (128),SUCCESS,272,10,82,180,262,C:\Users\newuser\capstone_project\output\Walking (128)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (128)\motion\roi_motion_data.json,,7.02s
Walking (129),SUCCESS,301,11,90,200,290,C:\Users\newuser\capstone_project\output\Walking (129)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (129)\motion\roi_motion_data.json,,13.56s
Walking (130),SUCCESS,121,5,36,80,116,C:\Users\newuser\capstone_project\output\Walking (130)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (130)\motion\roi_motion_data.json,,5.13s
